date,time,SENTIMENT
11-12-2022,11:50,1
11-12-2022,11:55,3
11-12-2022,12:00,1.7
11-12-2022,12:05,2
11-12-2022,12:10,5
11-12-2022,12:15,3
11-12-2022,12:20,3
11-12-2022,12:25,1
11-12-2022,12:30,3.666666667
11-12-2022,12:35,2
11-12-2022,12:40,2.666666667
11-12-2022,12:45,2.333333333
11-12-2022,12:50,1
11-12-2022,13:00,3.666666667
11-12-2022,13:05,1
11-12-2022,13:10,2
11-12-2022,13:15,5
11-12-2022,13:20,3.5
11-12-2022,13:25,1
11-12-2022,13:30,4
11-12-2022,13:35,1
11-12-2022,13:40,2.5
11-12-2022,13:45,2.5
11-12-2022,13:50,2.833333333
11-12-2022,13:55,1
11-12-2022,14:00,1
11-12-2022,14:05,3
11-12-2022,14:10,5
11-12-2022,14:15,3.4
11-12-2022,14:20,1
11-12-2022,14:25,3
11-12-2022,14:30,2.8
11-12-2022,14:35,3
11-12-2022,14:40,4.75
11-12-2022,14:45,5
11-12-2022,14:50,4.2
11-12-2022,14:55,4
11-12-2022,15:00,2.333333333
11-12-2022,15:05,3.285714286
11-12-2022,15:10,3
11-12-2022,15:15,4
11-12-2022,15:20,2
11-12-2022,15:25,3.2
11-12-2022,15:30,2
11-12-2022,15:35,3.444444444
11-12-2022,15:40,1
11-12-2022,15:45,4
11-12-2022,15:50,3
11-12-2022,15:55,3.4
11-24-2022,09:30,3.285714286
11-24-2022,09:35,2.333333333
11-24-2022,09:40,2.6
11-24-2022,09:45,3
11-24-2022,09:50,2.6
11-24-2022,09:55,3
11-24-2022,10:00,3.461538462
11-24-2022,10:05,2.75
11-24-2022,10:10,4.333333333
11-24-2022,10:15,3
11-24-2022,10:20,2.6
11-24-2022,10:25,5
11-24-2022,10:30,1
11-24-2022,10:35,5
11-24-2022,10:40,2.6
11-24-2022,10:45,3.333333333
11-24-2022,10:50,3.5
11-24-2022,10:55,3
11-24-2022,11:00,1.8
11-24-2022,11:05,2.6
11-24-2022,11:10,4.5
11-24-2022,11:15,2.333333333
11-24-2022,11:20,3
11-24-2022,11:25,2
11-24-2022,11:30,2
11-24-2022,11:35,3.4
11-24-2022,11:40,2
11-24-2022,11:50,5
11-24-2022,11:55,4.5
11-24-2022,12:00,4.6
11-24-2022,12:05,3.5
11-24-2022,12:10,1
11-24-2022,12:15,2.333333333
11-24-2022,12:20,3.666666667
11-24-2022,12:25,1.333333333
11-24-2022,12:30,4
11-24-2022,12:35,1
11-24-2022,12:40,2.142857143
11-24-2022,12:45,2.333333333
11-24-2022,12:50,2.75
11-24-2022,12:55,2
11-24-2022,13:00,4.75
11-24-2022,13:05,3.666666667
11-24-2022,13:10,5
11-24-2022,13:15,4
11-24-2022,13:20,3.1
11-24-2022,13:25,1.8
11-24-2022,13:30,2
11-24-2022,13:35,1
11-24-2022,13:40,2.5
11-24-2022,13:45,1
11-24-2022,13:50,1
11-24-2022,13:55,3
11-24-2022,14:00,2.666666667
11-24-2022,14:05,2.666666667
11-24-2022,14:10,3.2
11-24-2022,14:15,2
11-24-2022,14:20,5
11-24-2022,14:25,3.75
11-24-2022,14:30,3
11-24-2022,14:35,2.5
11-24-2022,14:40,3.3
11-24-2022,14:45,3
11-24-2022,14:50,2.6
11-24-2022,14:55,3.111111111
11-24-2022,15:00,4.555555556
11-24-2022,15:05,3
11-24-2022,15:10,3.666666667
11-24-2022,15:15,3.666666667
11-24-2022,15:20,3.166666667
11-24-2022,15:25,4.75
11-24-2022,15:30,3.090909091
11-24-2022,15:35,2.6
11-24-2022,15:40,1.7
11-24-2022,15:45,2.714285714
11-24-2022,15:55,1.833333333
11-25-2022,09:30,2
11-25-2022,09:35,3
11-25-2022,09:40,3.666666667
11-25-2022,09:45,3.4
11-25-2022,09:50,5
11-25-2022,09:55,1.666666667
11-25-2022,10:00,3.888888889
11-25-2022,10:05,1.875
11-25-2022,10:10,3
11-25-2022,10:15,2.6
11-25-2022,10:20,2.869565217
11-25-2022,10:25,4.333333333
11-25-2022,10:30,3.25
11-25-2022,10:35,3.076923077
11-25-2022,10:40,3
11-25-2022,10:45,4
